Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 121.0.0.0,,,28-02-2024 14:59:07,28-02-2024 14:59:39,31.612s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC-001_loginWithNumber,Chrome 121.0.0.0,,,28-02-2024 14:59:07,28-02-2024 14:59:16,8.586s,PASSED
openBrowser(siteURL),Chrome 121.0.0.0,,,28-02-2024 14:59:08,28-02-2024 14:59:11,3.421s,PASSED
"username = ""coba123""",Chrome 121.0.0.0,,,28-02-2024 14:59:11,28-02-2024 14:59:11,0.004s,PASSED
"password = ""passwordcoba123""",Chrome 121.0.0.0,,,28-02-2024 14:59:11,28-02-2024 14:59:11,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Common Test Case/login""), [""Username"":username, ""Password"":password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,28-02-2024 14:59:11,28-02-2024 14:59:14,3.222s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Page_ACME demo app/buttonAddAccount""), 5, STOP_ON_FAILURE))",Chrome 121.0.0.0,,,28-02-2024 14:59:14,28-02-2024 14:59:15,0.354s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Page_ACME demo app/buttonMakePayment""), 5, STOP_ON_FAILURE))",Chrome 121.0.0.0,,,28-02-2024 14:59:15,28-02-2024 14:59:15,0.323s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Page_ACME demo app/labelFinancialOverview""), 5, STOP_ON_FAILURE))",Chrome 121.0.0.0,,,28-02-2024 14:59:15,28-02-2024 14:59:15,0.297s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Page_ACME demo app/labelRecentTransactions""), 5, STOP_ON_FAILURE))",Chrome 121.0.0.0,,,28-02-2024 14:59:15,28-02-2024 14:59:16,0.353s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,28-02-2024 14:59:16,28-02-2024 14:59:16,0.263s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC-002_loginWithSpecialCharacter,Chrome 121.0.0.0,,,28-02-2024 14:59:37,28-02-2024 14:59:39,2.091s,FAILED
openBrowser(siteURL),Chrome 121.0.0.0,,,28-02-2024 14:59:37,28-02-2024 14:59:38,1.868s,PASSED
"username = ""coba123!$%^&""",Chrome 121.0.0.0,,,28-02-2024 14:59:38,28-02-2024 14:59:38,0.000s,PASSED
"password = ""passwordcoba123!$%^&""",Chrome 121.0.0.0,,,28-02-2024 14:59:38,28-02-2024 14:59:38,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/Common Test Case/login""), [""Username"":username, ""Password"":password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,28-02-2024 14:59:38,28-02-2024 14:59:39,0.199s,FAILED
