timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709305075430,1860,GET-UserProfile,200,OK,Thread Group 1-9,text,true,,853,357,27,27,https://thinking-tester-contact-list.herokuapp.com/users/me,1860,0,1598
1709305075329,2014,GET-UserProfile,200,OK,Thread Group 1-8,text,true,,853,357,28,28,https://thinking-tester-contact-list.herokuapp.com/users/me,2014,0,1754
1709305075229,2232,GET-UserProfile,200,OK,Thread Group 1-7,text,true,,853,357,29,29,https://thinking-tester-contact-list.herokuapp.com/users/me,2232,0,1966
1709305077292,269,GET-Contact,200,OK,Thread Group 1-9,text,true,,1064,357,30,30,https://thinking-tester-contact-list.herokuapp.com/contacts,269,0,0
1709305077344,254,GET-Contact,200,OK,Thread Group 1-8,text,true,,1064,357,29,29,https://thinking-tester-contact-list.herokuapp.com/contacts,254,0,0
1709305075629,2135,GET-UserProfile,200,OK,Thread Group 1-11,text,true,,861,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,2135,0,1804
1709305077462,302,GET-Contact,200,OK,Thread Group 1-7,text,true,,1064,357,30,30,https://thinking-tester-contact-list.herokuapp.com/contacts,302,0,0
1709305075828,2040,GET-UserProfile,200,OK,Thread Group 1-13,text,true,,861,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,2040,0,1755
1709305076129,1739,GET-UserProfile,200,OK,Thread Group 1-16,text,true,,861,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,1739,0,1469
1709305074731,3137,GET-UserProfile,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 3,137 milliseconds, but should not have lasted longer than 3,000 milliseconds.",861,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,3136,0,2830
1709305077765,305,GET-Contact,200,OK,Thread Group 1-11,text,true,,1064,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,305,0,0
1709305075029,3041,GET-UserProfile,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 3,041 milliseconds, but should not have lasted longer than 3,000 milliseconds.",861,357,32,32,https://thinking-tester-contact-list.herokuapp.com/users/me,3041,0,2736
1709305077868,253,GET-Contact,200,OK,Thread Group 1-13,text,true,,1064,357,31,31,https://thinking-tester-contact-list.herokuapp.com/contacts,253,0,0
1709305077868,254,GET-Contact,200,OK,Thread Group 1-16,text,true,,1064,357,30,30,https://thinking-tester-contact-list.herokuapp.com/contacts,254,0,0
1709305077869,259,GET-Contact,200,OK,Thread Group 1-2,text,true,,1064,357,29,29,https://thinking-tester-contact-list.herokuapp.com/contacts,259,0,0
1709305075529,2750,GET-UserProfile,200,OK,Thread Group 1-10,text,true,,861,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,2750,0,2339
1709305078071,253,GET-Contact,200,OK,Thread Group 1-5,text,true,,1064,357,30,30,https://thinking-tester-contact-list.herokuapp.com/contacts,253,0,0
1709305076329,2046,GET-UserProfile,200,OK,Thread Group 1-18,text,true,,861,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,2046,0,1790
1709305075728,2756,GET-UserProfile,200,OK,Thread Group 1-12,text,true,,857,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2756,0,2495
1709305078280,261,GET-Contact,200,OK,Thread Group 1-10,text,true,,1060,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,261,0,0
1709305076028,2590,GET-UserProfile,200,OK,Thread Group 1-15,text,true,,857,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,2590,0,2337
1709305076628,1998,GET-UserProfile,200,OK,Thread Group 1-21,text,true,,857,357,31,31,https://thinking-tester-contact-list.herokuapp.com/users/me,1998,0,1739
1709305078375,260,GET-Contact,200,OK,Thread Group 1-18,text,true,,1060,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,260,0,0
1709305076428,2207,GET-UserProfile,200,OK,Thread Group 1-19,text,true,,857,357,32,32,https://thinking-tester-contact-list.herokuapp.com/users/me,2207,0,1954
1709305074829,3917,GET-UserProfile,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 3,917 milliseconds, but should not have lasted longer than 3,000 milliseconds.",857,357,32,32,https://thinking-tester-contact-list.herokuapp.com/users/me,3917,0,3663
1709305078484,269,GET-Contact,200,OK,Thread Group 1-12,text,true,,1060,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,269,0,0
1709305078619,254,GET-Contact,200,OK,Thread Group 1-15,text,true,,1060,357,32,32,https://thinking-tester-contact-list.herokuapp.com/contacts,254,0,0
1709305078627,261,GET-Contact,200,OK,Thread Group 1-21,text,true,,1060,357,31,31,https://thinking-tester-contact-list.herokuapp.com/contacts,261,0,0
1709305076529,2363,GET-UserProfile,200,OK,Thread Group 1-20,text,true,,857,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,2363,0,2097
1709305078636,260,GET-Contact,200,OK,Thread Group 1-19,text,true,,1060,357,30,30,https://thinking-tester-contact-list.herokuapp.com/contacts,260,0,0
1709305078747,487,GET-Contact,200,OK,Thread Group 1-3,text,true,,1060,357,33,33,https://thinking-tester-contact-list.herokuapp.com/contacts,487,0,0
